User_ID,Product_ID,Title,Description,Category,Rating,Purchase_Frequency,Last_Purchase_Date,Price,Dimensions,Color,Size,Weight
127,2027,Noise Reduction Earplugs,Comfortable earplugs for sleeping and travel.,Personal Care,4.5,10,2024-03-17,20,2x1x1 cm,Transparent,Small,10g
128,2028,Smart Light Bulbs,WiFi-enabled LED bulbs with voice control.,Home Automation,4.6,20,2024-03-18,30,6x6x12 cm,Multicolor,Standard,200g
129,2029,Adjustable Standing Desk,Height-adjustable desk for ergonomic work setup.,Office Furniture,4.8,8,2024-03-19,299,120x60x75 cm,White,Large,20kg
130,2030,Waterproof Hiking Jacket,Breathable and lightweight outdoor jacket.,Sportswear,4.6,9,2024-03-20,90,60x40x10 cm,Blue,Large,700g
131,2031,Home Gym Equipment Set,Complete fitness set including weights and resistance bands.,Health & Fitness,4.7,14,2024-03-21,250,100x50x30 cm,Black,Varied,10kg
132,2032,Pet GPS Tracker,Real-time location tracking for pets with mobile alerts.,Pet Accessories,4.5,12,2024-03-22,79,5x3x2 cm,White,Small,80g
133,2033,Electric Scooter,Foldable commuter scooter with long battery life.,Transportation,4.6,7,2024-03-23,499,110x45x50 cm,Black,Standard,12kg
134,2034,Mini Projector,Portable projector with 1080p HD resolution.,Electronics,4.4,16,2024-03-24,160,12x10x8 cm,White,Compact,1.2kg
135,2035,Luxury Memory Foam Pillow,Orthopedic pillow for neck and back support.,Home Essentials,4.8,9,2024-03-25,55,60x40x15 cm,White,Standard,1.5kg
136,2036,Smart Thermostat,Energy-saving device with remote control via app.,Home Automation,4.7,6,2024-03-26,180,10x10x2 cm,Grey,Compact,400g
137,2037,Air Purifier,HEPA air filtration for allergies and dust removal.,Home Appliances,4.6,11,2024-03-27,250,35x25x25 cm,White,Medium,3kg
138,2038,Ultrasonic Jewelry Cleaner,Professional-grade cleaning for rings and watches.,Personal Care,4.5,10,2024-03-28,75,20x10x10 cm,Silver,Standard,1kg
139,2039,Camping Sleeping Bag,Four-season insulated sleeping bag for outdoor camping.,Outdoor Gear,4.6,8,2024-03-29,89,220x80x5 cm,Green,Large,2.5kg
140,2040,Digital Kitchen Scale,Precision weighing scale for cooking and baking.,Kitchen Appliances,4.7,18,2024-03-30,35,15x10x3 cm,Silver,Compact,500g
141,2041,High-Speed Blender,Powerful blender for smoothies and soups.,Kitchen Appliances,4.6,13,2024-03-31,199,40x20x30 cm,Black,Large,4kg
142,2042,Wireless Doorbell,Smart doorbell with camera and two-way audio.,Home Security,4.5,7,2024-04-01,120,8x5x2 cm,Silver,Compact,300g
143,2043,VR Headset,Virtual reality headset with 360-degree immersion.,Electronics,4.8,9,2024-04-02,299,25x20x15 cm,Black,Standard,1kg
144,2044,Smart Refrigerator,WiFi-enabled fridge with touchscreen and AI features.,Home Appliances,4.7,5,2024-04-03,1500,180x70x80 cm,Stainless Steel,Large,80kg
145,2045,Premium Beard Trimmer,Precision grooming tool with adjustable length settings.,Personal Care,4.6,12,2024-04-04,70,18x5x5 cm,Black,Compact,400g
146,2046,Smart Car Dash Cam,HD recording with night vision and AI-assisted driving alerts.,Automotive,4.7,10,2024-04-05,150,10x6x4 cm,Black,Compact,250g
147,2047,Foldable Electric Bike,Lightweight e-bike for urban commuting.,Transportation,4.5,6,2024-04-06,899,140x60x100 cm,Grey,Standard,18kg
148,2048,LED Desk Lamp,Adjustable brightness with eye protection technology.,Office Essentials,4.6,15,2024-04-07,45,40x20x10 cm,White,Standard,1.2kg
149,2049,Smart Mirror,AI-powered mirror with touch display and fitness tracking.,Home Automation,4.7,7,2024-04-08,350,120x60x5 cm,Silver,Large,15kg
150,2050,Wireless Mechanical Keyboard,Bluetooth-enabled gaming keyboard with customizable RGB lighting.,Electronics,4.8,14,2024-04-09,130,45x15x5 cm,Black,Full-size,900g
